taxon	min_age	max_age	status
t1	7.89087276284893	11.8363091442734	extinct
t1	3.94543638142447	7.89087276284893	extinct
t2	7.89087276284893	11.8363091442734	extinct
t3	3.94543638142447	7.89087276284893	extinct
t4	7.89087276284893	11.8363091442734	extinct
t4	0	3.94543638142447	extinct
t5	3.94543638142447	7.89087276284893	extant
t5	0	3.94543638142447	extant
t6	0	3.94543638142447	extinct
t7	0	3.94543638142447	extant
t8	3.94543638142447	7.89087276284893	extant
t8	0	3.94543638142447	extant
t9	0	3.94543638142447	extant
t11	0	3.94543638142447	extinct
t13	0	3.94543638142447	extant
t14	0	3.94543638142447	extant
t18	0	3.94543638142447	extant
